"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"57WHH2B",0.375744584225545,-0.4261487994442,"Pot-57","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"58WHH1B",0.231911195202198,0.0112992997264108,"Pot-58","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"58WHH2B",0.366571344853389,-0.318316476032836,"Pot-58","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"59WHH1B",0.115818093001141,0.225379132637035,"Pot-59","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"59WHH2B",0.260110638588383,-0.0441235868053845,"Pot-59","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"5WLC1B",0.0358316919237574,0.122671897185253,"Pot-5","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"5WLC2B",0.0863661855188643,0.205831957833363,"Pot-5","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"60WHH1B",0.125359065847004,0.206268772388873,"Pot-60","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"60WHH2B",0.0948630453713087,0.213040912505795,"Pot-60","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"61DLC1B",-0.262582594617153,-0.00925535119499862,"Pot-61","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"61DLC2B",-0.232881628419559,0.0273814858174086,"Pot-61","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"62DLC1B",-0.232083363477854,-0.0491473759717098,"Pot-62","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"62DLC2B",-0.307156249788717,-0.131671529951615,"Pot-62","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"63DLC1B",-0.311822986076389,-0.078040550224643,"Pot-63","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"63DLC2B",-0.191400603312561,0.0129433529881877,"Pot-63","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"64DLC1B",-0.326910108708921,-0.10338188216743,"Pot-64","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"64DLC2B",-0.322459316982073,-0.118723018042924,"Pot-64","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"65DLC1B",-0.185247836142204,0.0498224542066903,"Pot-65","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"65DLC2B",-0.289352388309564,-0.0713554165659477,"Pot-65","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"66DLC1B",-0.29879079633314,-0.0324849964779734,"Pot-66","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"66DLC2B",-0.296890500215247,-0.0414394162089582,"Pot-66","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"67DLC1B",-0.338629290047181,-0.0730470136885202,"Pot-67","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"67DLC2B",-0.365466082112482,-0.16332842230792,"Pot-67","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"68DLC1B",-0.270065299953782,-0.0341907134706172,"Pot-68","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"68DLC2B",-0.239531038457799,0.0295906341450752,"Pot-68","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"69DLC1B",-0.28656751247585,-0.00377836612269613,"Pot-69","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"69DLC2B",-0.26060190089105,0.0169446875377074,"Pot-69","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
"6WLC1B",0.185524181194012,0.0345610029733991,"Pot-6","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"6WLC2B",0.0734372797633826,0.188819880399619,"Pot-6","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"70DLC1B",-0.315735967098847,-0.0429931061161048,"Pot-70","Dry","Low","Conspecific",1,"Bacteria","Bacteria"
"70DLC2B",-0.278073559160843,0.000544277732812261,"Pot-70","Dry","Low","Conspecific",2,"Bacteria","Bacteria"
