"ASV","rho","Domain","Phylum","Class","Order","Family","Genus"
"3385e51e80fb2294d75468e209d2f7ce",0.0707121759985015,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloronema"
"bddd7e13a269bb914968b0bd6347591e",-0.00297792399803261,"Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Entotheonellaceae"
"b2436c2df13964114061670e95da4b89",0.225128802324132,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"e2d52b712e1c058d934c02ceeb5ea075",0.0655648012448198,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"864b119630828eb4c31b8e6e63a2fee3",-0.17889742694975,"Bacteria","Chloroflexi","TK10","TK10","TK10","TK10"
"ea7df90d92abff9134523a0383faaabb",0.120154496440781,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"454a37b972cf32c84e1da63187228913",0.474322431734885,"Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella"
"facbf178c51f3a46781abbd9ee3c132f",-0.212845855927179,"Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","PLTA13","PLTA13"
"acb4e287e059a08fca530af4b56f9e2e",-0.0710159163598625,"Bacteria","","","","",""
"d3a95ebf554784b5510919b6b14e2230",0.188568204349997,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"83388ad6cd096adb688c02fa6dac5a20",-0.267742980520256,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2668c49ad118fb4a3c638dff2a5bbcc5",0.111380055243313,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"e9e09796da2129e1141c2d45796eebc0",0.0610147654465264,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloronema"
"216883caac837452e89dfae171b399ed",-0.0707121759985015,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"ae099d4bcf0df2060e549fec51481698",-0.12552706751029,"Bacteria","Planctomycetota","Planctomycetes","uncultured","uncultured","uncultured"
"f461fb25a69dcc1a1e80c8ceb11dbbe2",0.508616836297535,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"d0addb351bcd8c53888040aee66dcc3a",0.0843037795928692,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinus"
"a4fea3fa6846b65131eceb886085d349",-0.170397820633188,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","uncultured","uncultured"
"2238872c0bfcac14700558a26b37bcf2",0.173745280372086,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"7bbf3635accfa2b8143b91a7622c274b",0.296977081107027,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Collierbacteria","Candidatus_Collierbacteria","Candidatus_Collierbacteria"
"149cff010ea9382f06ed3482ea26e9cb",0.00449858773747922,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"a9d57fd6c6561ee5fb1c525b4348cdbc",0.00133017972063517,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandaracinobacter"
"7882beac1ca9faa152fb8c58a99199a0",0.0964091127956014,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group"
"09352b5943e7cbb9567456a318f6ab8b",0.168548442533589,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"357f1cc77050f4878b5cf94df5e1c43b",0.166377455853333,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"4938825988aaf1fdc2c78e192f5c5b92",0.0715895515354336,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"1a382e0f3b4aaca986ab99624de22e51",0.139245348561661,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517"
"b6a537d95118e6ca04bb51cf76f478a3",0.00514721717984915,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
