"PathwayID","PathwayName","Class_L2","Class_L1"
"PWY-5459","methylglyoxal degradation IV","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-5461","betanidin degradation","Other","Other"
"PWY-5462","methylglyoxal degradation II","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-5464","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle","Energy / central carbon metabolism","Energy metabolism"
"PWY-5466","matairesinol biosynthesis","Other","Other"
"PWY-5467","gramine biosynthesis","Other","Other"
"PWY-5468","lupanine biosynthesis","Other","Other"
"PWY-5469","sesamin biosynthesis","Other","Other"
"PWY-5470","palmatine biosynthesis","Other","Other"
"PWY-5472","bisbenzylisoquinoline alkaloid biosynthesis","Other","Other"
"PWY-5473","hydroxycinnamic acid serotonin amides biosynthesis","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-5474","hydroxycinnamic acid tyramine amides biosynthesis","Other","Other"
"PWY-5475","pentagalloylglucose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5476","cornusiin E biosynthesis","Other","Other"
"PWY-5477","gallotannin biosynthesis","Other","Other"
"PWY-5478","superpathway of hydrolyzable tannin biosynthesis","Other","Other"
"PWY-5479","6-methoxypodophyllotoxin biosynthesis","Other","Other"
"PWY-5480","pyruvate fermentation to ethanol I","Energy / central carbon metabolism","Energy metabolism"
"PWY-5481","pyruvate fermentation to (S)-lactate","Energy / central carbon metabolism","Energy metabolism"
"PWY-5482","pyruvate fermentation to acetate II","Energy / central carbon metabolism","Energy metabolism"
"PWY-5483","pyruvate fermentation to acetate III","Energy / central carbon metabolism","Energy metabolism"
"PWY-5484","glycolysis II (from fructose 6-phosphate)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5485","pyruvate fermentation to acetate IV","Energy / central carbon metabolism","Energy metabolism"
"PWY-5486","pyruvate fermentation to ethanol II","Energy / central carbon metabolism","Energy metabolism"
"PWY-5487","4-nitrophenol degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5488","4-nitrophenol degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5489","methyl parathion degradation","Other","Other"
"PWY-5490","paraoxon degradation","Other","Other"
"PWY-5491","diethylphosphate degradation","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5493","reductive monocarboxylic acid cycle","Other","Other"
"PWY-5494","pyruvate fermentation to propanoate II (acrylate pathway)","Energy / central carbon metabolism","Energy metabolism"
"PWY-5497","purine nucleobases degradation II (anaerobic)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-5499","vitamin B6 degradation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5505","L-glutamate and L-glutamine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5506","methanol oxidation to formaldehyde IV","Other","Other"
"PWY-5507","adenosylcobalamin biosynthesis I (anaerobic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5509","adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5512","UDP-N-acetyl-D-galactosamine biosynthesis I","Other","Other"
"PWY-5514","UDP-N-acetyl-D-galactosamine biosynthesis II","Other","Other"
"PWY-5515","L-arabinose degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5516","D-xylose degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5517","L-arabinose degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5519","D-arabinose degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5521","L-ascorbate biosynthesis III (D-sorbitol pathway)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5523","5,6-dimethylbenzimidazole biosynthesis I (aerobic)","Other","Other"
"PWY-5525","D-glucuronate degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5526","bacteriochlorophyll a biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-5529","superpathway of bacteriochlorophyll a biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-5530","sorbitol biosynthesis II","Other","Other"
"PWY-5531","3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-5532","nucleoside and nucleotide degradation (archaea)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-5533","acetone degradation II (to acetoacetate)","Other","Other"
"PWY-5534","propene degradation","Other","Other"
"PWY-5535","acetate and ATP formation from acetyl-CoA II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-5536","acetate formation from acetyl-CoA (succinate)","Energy / central carbon metabolism","Energy metabolism"
"PWY-5537","pyruvate fermentation to acetate V","Energy / central carbon metabolism","Energy metabolism"
"PWY-5538","pyruvate fermentation to acetate VI","Energy / central carbon metabolism","Energy metabolism"
"PWY-5600","pyruvate fermentation to acetate VII","Energy / central carbon metabolism","Energy metabolism"
"PWY-561","superpathway of glyoxylate cycle and fatty acid degradation","Lipid metabolism","Biosynthesis / cellular components"
"PWY-5629","isopenicillin N biosynthesis","Other","Other"
"PWY-5630","penicillin K biosynthesis","Other","Other"
"PWY-5631","deacetylcephalosporin C biosynthesis","Other","Other"
"PWY-5632","cephalosporin C biosynthesis","Other","Other"
"PWY-5633","cephamycin C biosynthesis","Other","Other"
"PWY-5634","superpathway of penicillin, cephalosporin and cephamycin biosynthesis","Other","Other"
"PWY-5636","2-nitrophenol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5637","nitrobenzene degradation I","Other","Other"
"PWY-5640","nitrobenzene degradation II","Other","Other"
"PWY-5641","2-nitrotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
