"PathwayID","PathwayName","Class_L2","Class_L1"
"PWY-6448","hordatine biosynthesis","Other","Other"
"PWY-6449","fenchone biosynthesis","Other","Other"
"PWY-6451","3-carene biosynthesis","Other","Other"
"PWY-6453","stigma estolide biosynthesis","Other","Other"
"PWY-6454","vancomycin resistance I","Other","Other"
"PWY-6455","vancomycin resistance II","Other","Other"
"PWY-6456","serinol biosynthesis","Other","Other"
"PWY-6457","cinnamoyl-CoA biosynthesis","Other","Other"
"PWY-6458","benzoyl-CoA biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6459","peptidoglycan cross-bridge biosynthesis I (S. aureus)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6461","peptidoglycan cross-bridge biosynthesis II (E. faecium)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6462","peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6463","peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6464","polyvinyl alcohol degradation","Other","Other"
"PWY-6466","pyridoxal 5'-phosphate biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6467","Kdo transfer to lipid IVA III (Chlamydia)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6470","peptidoglycan biosynthesis V (&beta;-lactam resistance)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6473","4-aminobutanoate degradation IV","Other","Other"
"PWY-6475","trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6476","cytidylyl molybdenum cofactor biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6477","gibberellin inactivation II (methylation)","Other","Other"
"PWY-6478","GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6481","L-dopa and L-dopachrome biosynthesis","Other","Other"
"PWY-6482","diphthamide biosynthesis I (archaea)","Other","Other"
"PWY-6483","ceramide degradation (generic)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6486","D-galacturonate degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6491","D-galacturonate degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6493","chanoclavine I aldehyde biosynthesis","Other","Other"
"PWY-6494","gibberellin inactivation III (epoxidation)","Other","Other"
"PWY-6495","ergotamine biosynthesis","Other","Other"
"PWY-6497","D-galactarate degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6498","eumelanin biosynthesis","Other","Other"
"PWY-6499","D-glucarate degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6501","D-glucuronate degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6502","8-oxo-(d)GTP detoxification I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6503","superpathway of ergotamine biosynthesis","Other","Other"
"PWY-6504","anthranilate degradation IV (aerobic)","Other","Other"
"PWY-6505","L-tryptophan degradation XII (Geobacillus)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6507","4-deoxy-L-threo-hex-4-enopyranuronate degradation","Other","Other"
"PWY-6509","methanol oxidation to formaldehyde III","Other","Other"
"PWY-6510","methanol oxidation to formaldehyde II","Other","Other"
"PWY-6511","3-methylarginine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6512","hydrogen oxidation III (anaerobic, NADP)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6515","phloridzin biosynthesis","Other","Other"
"PWY-6516","superpathway of microbial D-galacturonate and D-glucuronate degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6517","N-acetylglucosamine degradation II","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6518","bile acids epimerization","Other","Other"
"PWY-6519","8-amino-7-oxononanoate biosynthesis I","Other","Other"
"PWY-6520","nonaprenyl diphosphate biosynthesis II","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6523","nitrite-dependent anaerobic methane oxidation","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-6524","lychnose and isolychnose biosynthesis","Other","Other"
"PWY-6525","stellariose and mediose biosynthesis","Other","Other"
"PWY-6526","limonene degradation III (to perillate)","Other","Other"
"PWY-6527","stachyose degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6529","chlorate reduction","Other","Other"
"PWY-6530","perchlorate reduction","Other","Other"
"PWY-6531","mannitol cycle","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-6532","diphenylamine degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6533","aniline degradation","Other","Other"
"PWY-6534","phenylethylamine degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6535","4-aminobutanoate degradation I","Other","Other"
"PWY-6536","4-aminobutanoate degradation III","Other","Other"
"PWY-6537","4-aminobutanoate degradation II","Other","Other"
"PWY-6538","caffeine degradation III (bacteria, via demethylation)","Other","Other"
"PWY-6539","(Z)-phenylmethanethial S-oxide biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6540","costunolide biosynthesis","Other","Other"
"PWY-6543","4-aminobenzoate biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6544","superpathway of C28 brassinosteroid biosynthesis","Other","Other"
"PWY-6545","pyrimidine deoxyribonucleotides de novo biosynthesis III","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6546","brassinosteroids inactivation","Other","Other"
"PWY-6549","L-glutamine biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6550","carbazole degradation","Other","Other"
"PWY-6552","caffeine degradation I (main, plants)","Other","Other"
"PWY-6553","caffeine degradation II","Other","Other"
"PWY-6554","1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6555","superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6556","pyrimidine ribonucleosides salvage II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6557","glycosaminoglycan-protein linkage region biosynthesis","Other","Other"
"PWY-6558","heparan sulfate biosynthesis (late stages)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6559","spermidine biosynthesis II","Other","Other"
"PWY-6562","norspermidine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6564","heparan sulfate biosynthesis","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6565","superpathway of polyamine biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6566","chondroitin biosynthesis","Other","Other"
"PWY-6567","chondroitin sulfate biosynthesis (late stages)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6568","dermatan sulfate biosynthesis (late stages)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6569","chondroitin sulfate biosynthesis","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6571","dermatan sulfate biosynthesis","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6572","chondroitin sulfate degradation I (bacterial)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6573","chondroitin sulfate degradation (metazoa)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6574","achromobactin biosynthesis","Other","Other"
"PWY-6575","juvenile hormone III biosynthesis I","Other","Other"
"PWY-6576","dermatan sulfate degradation (metazoa)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6577","farnesylcysteine salvage pathway","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6578","8-amino-7-oxononanoate biosynthesis III","Other","Other"
"PWY-6579","superpathway of guanine and guanosine salvage","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6580","phosphatidylinositol biosynthesis I (bacteria)","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-6581","spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis","Other","Other"
"PWY-6583","pyruvate fermentation to butanol I","Energy / central carbon metabolism","Energy metabolism"
"PWY-6585","2-methylketone biosynthesis","Other","Other"
"PWY-6587","pyruvate fermentation to ethanol III","Energy / central carbon metabolism","Energy metabolism"
"PWY-6588","pyruvate fermentation to acetone","Energy / central carbon metabolism","Energy metabolism"
"PWY-6590","superpathway of Clostridium acetobutylicum acidogenic fermentation","Energy / central carbon metabolism","Energy metabolism"
"PWY-6591","manganese oxidation I","Other","Other"
"PWY-6592","manganese oxidation II","Other","Other"
"PWY-6593","sulfoacetate degradation","Other","Other"
"PWY-6594","superpathway of Clostridium acetobutylicum solventogenic fermentation","Energy / central carbon metabolism","Energy metabolism"
"PWY-6595","superpathway of guanosine nucleotides degradation (plants)","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6596","adenosine nucleotides degradation I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6598","sciadonate biosynthesis","Other","Other"
"PWY-6599","guanine and guanosine salvage II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-66","GDP-L-fucose biosynthesis I (from GDP-D-mannose)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6602","naringenin C-glucosylation","Other","Other"
"PWY-6603","dicranin biosynthesis","Other","Other"
"PWY-6604","superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation","Energy / central carbon metabolism","Energy metabolism"
"PWY-6605","adenine and adenosine salvage II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6606","guanosine nucleotides degradation II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6607","guanosine nucleotides degradation I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6608","guanosine nucleotides degradation III","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6609","adenine and adenosine salvage III","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6610","adenine salvage","Other","Other"
"PWY-6611","adenine and adenosine salvage V","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6612","superpathway of tetrahydrofolate biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6613","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6614","tetrahydrofolate biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6616","sulfolactate degradation I","Other","Other"
"PWY-6617","adenosine nucleotides degradation III","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6618","guanine and guanosine salvage III","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6619","adenine and adenosine salvage VI","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6620","guanine and guanosine salvage","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6621","salicylate glucosides biosynthesis I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6622","heptadecane biosynthesis","Other","Other"
"PWY-6623","salicylate glucosides biosynthesis II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6624","salicylate glucosides biosynthesis III","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6626","cytidine-5'-diphosphate-glycerol biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6627","salinosporamide A biosynthesis","Other","Other"
"PWY-6628","superpathway of L-phenylalanine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6629","superpathway of L-tryptophan biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6630","superpathway of L-tyrosine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6631","tricetin methylation","Other","Other"
"PWY-6632","caffeine degradation IV (bacteria, via demethylation and oxidation)","Other","Other"
"PWY-6633","caffeine degradation V (bacteria, via trimethylurate)","Other","Other"
"PWY-6634","3-sulfopropanediol degradation","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-6636","salicylate degradation III","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6637","sulfolactate degradation II","Other","Other"
"PWY-6638","sulfolactate degradation III","Other","Other"
"PWY-6640","salicylate degradation IV","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6641","superpathway of sulfolactate degradation","Other","Other"
"PWY-6642","(R)-cysteate degradation","Other","Other"
"PWY-6643","coenzyme M biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6644","fluoroacetate and fluorothreonine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6645","labdane-type diterpenes biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-6646","fluoroacetate degradation","Other","Other"
"PWY-6648","rhamnolipid biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6649","glycolate and glyoxylate degradation III","Energy / central carbon metabolism","Energy metabolism"
"PWY-6650","juvenile hormone III biosynthesis II","Other","Other"
"PWY-6653","ent -kaurene biosynthesis II","Other","Other"
"PWY-6654","phosphopantothenate biosynthesis III (archaebacteria)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6655","xanthan biosynthesis","Other","Other"
"PWY-6657","polyhydroxydecanoate biosynthesis","Other","Other"
"PWY-6658","acetan biosynthesis","Other","Other"
"PWY-6659","fusicoccin A biosynthesis","Other","Other"
"PWY-6660","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","Other","Other"
"PWY-6661","4-hydroxy-2(1H)-quinolone biosynthesis","Other","Other"
"PWY-6662","superpathway of quinolone and alkylquinolone biosynthesis","Other","Other"
"PWY-6664","di-myo-inositol phosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6665","pterostilbene biosynthesis","Other","Other"
"PWY-6666","pyocyanin biosynthesis","Other","Other"
"PWY-6667","resveratrol degradation","Other","Other"
"PWY-6668","(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis","Other","Other"
"PWY-6669","&delta;-guaiene biosynthesis","Other","Other"
"PWY-6670","citronellol degradation","Other","Other"
"PWY-6672","cis-geranyl-CoA degradation","Other","Other"
"PWY-6673","caffeoylglucarate biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6675","sulfur oxidation IV (intracellular sulfur)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6676","superpathway of sulfide oxidation (phototrophic sulfur bacteria)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6677","thiosulfate oxidation IV (multienzyme complex)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6678","geraniol and nerol degradation","Other","Other"
"PWY-6679","jadomycin biosynthesis","Other","Other"
"PWY-6681","neurosporaxanthin biosynthesis","Other","Other"
"PWY-6682","dehydrophos biosynthesis","Other","Other"
"PWY-6683","assimilatory sulfate reduction III","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6684","aromatic  glucosinolate activation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6685","glucosylglycerate biosynthesis II","Other","Other"
"PWY-6686","mannosylglucosylglycerate biosynthesis I","Other","Other"
"PWY-6687","mannosylglucosylglycerate biosynthesis II","Other","Other"
"PWY-6688","thyronamine and iodothyronamine metabolism","Other","Other"
"PWY-6689","tRNA splicing I","Cellular processes","Cellular processes"
"PWY-6690","cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6691","plaunotol biosynthesis","Other","Other"
"PWY-6692","Fe(II) oxidation","Other","Other"
"PWY-6693","D-galactose degradation IV","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6694","oxalate degradation I","Other","Other"
"PWY-6695","oxalate degradation II","Other","Other"
"PWY-6696","oxalate degradation III","Other","Other"
"PWY-6697","oxalate degradation IV","Other","Other"
"PWY-6698","oxalate degradation V","Other","Other"
"PWY-6699","oxalate biosynthesis","Other","Other"
"PWY-6700","queuosine biosynthesis I (de novo)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6703","preQ0 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6704","L-ascorbate degradation IV","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6707","gallate biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6708","ubiquinol-8 biosynthesis (early decarboxylation)","Other","Other"
"PWY-6710","poly-hydroxy fatty acids biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6711","archaeosine biosynthesis I","Other","Other"
"PWY-6713","L-rhamnose degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6714","L-rhamnose degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6717","(1,4)-&beta;-D-xylan degradation","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6718","sulfoacetaldehyde degradation III","Other","Other"
"PWY-6720","toyocamycin biosynthesis","Other","Other"
"PWY-6721","sangivamycin biosynthesis","Other","Other"
"PWY-6722","candicidin biosynthesis","Other","Other"
"PWY-6724","starch degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6728","methylaspartate cycle","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6730","methylhalides biosynthesis (plants)","Other","Other"
"PWY-6731","starch degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6733","sporopollenin precursors biosynthesis","Other","Other"
"PWY-6735","starch degradation IV","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6736","sulfur volatiles biosynthesis","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6737","starch degradation V","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6738","pinitol biosynthesis I","Other","Other"
"PWY-6739","pinitol biosynthesis II","Other","Other"
"PWY-6742","methane oxidation to methanol II","Other","Other"
"PWY-6744","hydrogen production I","Other","Other"
"PWY-6745","phytochelatins biosynthesis","Other","Other"
"PWY-6748","nitrate reduction VII (denitrification)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-6749","CMP-legionaminate biosynthesis I","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"PWY-6751","superpathway of hydrogen production","Other","Other"
"PWY-6752","o-diquinones biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6753","S-methyl-5'-thioadenosine degradation III","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6754","S-methyl-5'-thioadenosine degradation I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6756","S-methyl-5'-thioadenosine degradation II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6758","hydrogen production II","Other","Other"
"PWY-6759","hydrogen production III","Other","Other"
"PWY-6760","D-xylose degradation III","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6762","salicylate glucosides biosynthesis IV","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6763","salicortin biosynthesis","Other","Other"
"PWY-6765","hydrogen production IV","Other","Other"
"PWY-6766","salicin biosynthesis","Other","Other"
"PWY-6767","4,4'-diapolycopenedioate biosynthesis","Other","Other"
"PWY-6769","rhamnogalacturonan type I degradation I","Other","Other"
"PWY-6771","rhamnogalacturonan type I degradation II (bacteria)","Other","Other"
"PWY-6772","hydrogen production V","Other","Other"
"PWY-6773","1,3-&beta;-D-glucan biosynthesis","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6778","laminaribiose degradation","Other","Other"
"PWY-6780","hydrogen production VI","Other","Other"
"PWY-6781","chlorogenic acid degradation","Other","Other"
"PWY-6784","cellulose and hemicellulose degradation (cellulolosome)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6785","hydrogen production VIII","Other","Other"
"PWY-6786","detoxification of reactive carbonyls in chloroplasts","Stress / detoxification","Stress response"
"PWY-6787","flavonoid biosynthesis (in equisetum)","Other","Other"
"PWY-6788","cellulose degradation II (fungi)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6789","(1,3)-&beta;-D-xylan degradation","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6790","L-arabinan degradation","Other","Other"
"PWY-6791","xyloglucan degradation I (endoglucanase)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6792","scopoletin biosynthesis","Other","Other"
"PWY-6794","adenosine 5'-phosphoramidate biosynthesis","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6795","diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6797","6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6799","fatty acid biosynthesis initiation (plant mitochondria)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6801","volatile esters biosynthesis (during fruit ripening)","Other","Other"
"PWY-6802","salidroside biosynthesis","Other","Other"
"PWY-6803","phosphatidylcholine acyl editing","Other","Other"
"PWY-6804","diacylglycerol biosynthesis (PUFA enrichment in oilseed)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6805","cellulose degradation I (cellulosome)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6806","carotenoid cleavage","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-6807","xyloglucan degradation II (exoglucanase)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6808","dTDP-&alpha;-D-forosamine biosynthesis","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6809","neoxanthin biosynthesis","Other","Other"
"PWY-681","dibenzothiophene desulfurization","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6812","xyloglucan degradation III (cellobiohydrolase)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6813","glucuronoarabinoxylan degradation","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6815","porphyran degradation","Other","Other"
"PWY-6816","agarose degradation","Other","Other"
"PWY-6817","&lambda;-carrageenan degradation","Other","Other"
"PWY-6818","ornithine lipid biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6820","diphyllin biosynthesis","Other","Other"
"PWY-6821","&kappa;-carrageenan degradation","Other","Other"
"PWY-6822","&iota;-carrageenan degradation","Other","Other"
"PWY-6823","molybdopterin biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6824","justicidin B biosynthesis","Other","Other"
"PWY-6825","phosphatidylcholine biosynthesis V","Other","Other"
"PWY-6826","phosphatidylcholine biosynthesis VI","Other","Other"
"PWY-6827","gellan degradation","Other","Other"
"PWY-6828","linezolid resistance","Other","Other"
"PWY-6829","tRNA methylation (yeast)","Cellular processes","Cellular processes"
"PWY-6830","superpathway of methanogenesis","Energy / central carbon metabolism","Energy metabolism"
"PWY-6831","pyrrolnitrin biosynthesis","Other","Other"
"PWY-6832","2-aminoethylphosphonate degradation II","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6834","spermidine biosynthesis III","Other","Other"
"PWY-6835","6-gingerol biosynthesis","Other","Other"
"PWY-6836","santalene biosynthesis II","Other","Other"
"PWY-6837","fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6839","2-aminoethylphosphonate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6840","homoglutathione biosynthesis","Other","Other"
"PWY-6841","homophytochelatin biosynthesis","Other","Other"
"PWY-6842","glutathione-mediated detoxification II","Stress / detoxification","Stress response"
"PWY-6845","nitric oxide biosynthesis I (plants)","Other","Other"
"PWY-6848","rutin degradation","Other","Other"
"PWY-6852","senecionine N-oxide biosynthesis","Other","Other"
"PWY-6853","ethene biosynthesis II (microbes)","Other","Other"
"PWY-6854","ethene biosynthesis III (microbes)","Other","Other"
"PWY-6855","chitin degradation I (archaea)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6857","retinol biosynthesis","Other","Other"
"PWY-6859","all-trans-farnesol biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6861","the visual cycle I (vertebrates)","Other","Other"
"PWY-6863","pyruvate fermentation to hexanol (engineered)","Energy / central carbon metabolism","Energy metabolism"
"PWY-6871","3-methylbutanol biosynthesis (engineered)","Other","Other"
"PWY-6872","retinoate biosynthesis I","Other","Other"
"PWY-6873","long chain fatty acid ester synthesis (engineered)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6875","retinoate biosynthesis II","Other","Other"
"PWY-6876","isopropanol biosynthesis (engineered)","Other","Other"
"PWY-6883","pyruvate fermentation to butanol II (engineered)","Energy / central carbon metabolism","Energy metabolism"
"PWY-6886","1-butanol autotrophic biosynthesis (engineered)","Other","Other"
"PWY-6887","kauralexin biosynthesis","Other","Other"
"PWY-6888","zealexin biosynthesis","Other","Other"
"PWY-6890","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6891","thiazole component of thiamine diphosphate biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6892","thiazole component of thiamine diphosphate biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6893","thiamine diphosphate biosynthesis II (Bacillus)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6894","thiamine diphosphate biosynthesis I (E. coli)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6895","superpathway of thiamine diphosphate biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6896","thiamine diphosphate salvage I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6897","thiamine diphosphate salvage II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6898","thiamine diphosphate salvage III","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6899","base-degraded thiamine salvage","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6900","(Z)-butanethial-S-oxide biosynthesis","Other","Other"
"PWY-6901","superpathway of glucose and xylose degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6902","chitin degradation II (Vibrio)","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6906","chitin derivatives degradation","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-6907","thiamine diphosphate biosynthesis III (Staphylococcus)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6908","thiamine diphosphate biosynthesis IV (eukaryotes)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6909","thiazole component of thiamne diphosphate biosynthesis III","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6910","hydroxymethylpyrimidine salvage","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6913","methylbutenol biosynthesis","Other","Other"
"PWY-6914","sophoraflavanone G biosynthesis","Other","Other"
"PWY-6915","pentalenolactone biosynthesis","Other","Other"
"PWY-6917","vernolate biosynthesis III","Other","Other"
"PWY-6919","neopentalenoketolactone and pentalenate biosynthesis","Other","Other"
