"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"b832b8b6471c3ec93f1dcf7b9048be3d","Dry",0.498941242306703,0.001,0.005671875,"Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales"
"d5a9cb01708f61c783292698e68eca4c","Wet",0.498814856403225,0.002,0.00977119784656797,"Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",""
"a5b176fb367772f725ebb8f6938b4a1a","Wet",0.498509862639035,0.007,0.0255376884422111,"Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"bcbd8399773dbde5bdded73ab0d945b7","Wet",0.498295156815001,0.005,0.0201890989988877,"Myxococcota","bacteriap25","bacteriap25","bacteriap25","bacteriap25"
"8999fa5c734fb395ef64aef0a66e61c9","Dry",0.498284016969393,0.001,0.005671875,"Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"3d45743a9d3b099b4b6f79cf738c2840","Dry",0.497454906893229,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"c688c06024e797f4ed0d4731d750b7c1","Wet",0.497354827854394,0.007,0.0255376884422111,"Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20"
"94214ffe308387c0cbfa73a77d4fcad6","Wet",0.49668309621126,0.002,0.00977119784656797,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"711632571a8f165b47db3f99e7e1d1a0","Wet",0.4960896117488,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured"
"ec2586ae09c0841fb783b31c27ffb35f","Dry",0.495778685635586,0.003,0.0135111662531017,"Bacteroidota","Bacteroidia","Cytophagales","uncultured","uncultured"
"99c0b859349830e3cdd86e6ec63ecee1","Dry",0.495355707481971,0.001,0.005671875,"Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis"
"5e14634fe254eeef7dcbcbc7346ced80","Dry",0.49435226451546,0.001,0.005671875,"","","","",""
"c831b1e502f881f947d9224fa844aef8","Wet",0.493855742364573,0.001,0.005671875,"Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"f700077752ab4f4e7dd9d608c39187bc","Dry",0.493236353422953,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"d71e00ac76afd6d786af089f0533a3f0","Dry",0.492894459298013,0.003,0.0135111662531017,"Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a"
"b5f16c0f81399f3e7887ff04922e1833","Dry",0.491443135931797,0.014,0.0427058823529412,"Proteobacteria","Alphaproteobacteria","Rhizobiales","uncultured","uncultured"
"f50da719a4e13c4c0784598f627748ac","Dry",0.490864768917101,0.006,0.0231455897980871,"Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","LWQ8"
"dad7ce9f68c8b5738bb26ddb312e30cd","Wet",0.490484306923222,0.002,0.00977119784656797,"Desulfobacterota","","","",""
"954d2d8cd72e2ea5484c8e58079df26d","Wet",0.490414446273684,0.001,0.005671875,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Sporomusa"
"d3d4ad44303b61b744ec16825208c0e5","Wet",0.490414446273684,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",""
"d200bc2c642be8e9df7d5818fe0656e4","Wet",0.490414446273684,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"e1629ed88a5251cc47e191cffbe728a7","Wet",0.490414446273684,0.001,0.005671875,"Firmicutes","Clostridia","Clostridia","Gracilibacteraceae","Lutispora"
"57bf6646a0413136954eaab226ee0215","Wet",0.490414446273684,0.001,0.005671875,"Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria"
