"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"88DLH2F",-0.155056076704885,0.060119805106541,"Pot-88","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"89DLH1F",-0.21557964653229,0.251100543130655,"Pot-89","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"89DLH2F",-0.296754712740869,0.126171886068471,"Pot-89","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"8WLC1F",0.360359779090919,-0.0333644882980229,"Pot-8","Wet","Low","Conspecific",1,"Fungi","Fungi"
"8WLC2F",0.127236470277569,0.051352460567922,"Pot-8","Wet","Low","Conspecific",2,"Fungi","Fungi"
"90DLH1F",-0.185935057719514,0.214622186341686,"Pot-90","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"90DLH2F",-0.345665816175664,0.0525052056498907,"Pot-90","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"96DHC1F",-0.407966309252916,-0.0235571599065062,"Pot-96","Dry","High","Conspecific",1,"Fungi","Fungi"
"96DHC2F",-0.235674216503314,0.15769615355266,"Pot-96","Dry","High","Conspecific",2,"Fungi","Fungi"
"97DHC1F",-0.246823954493196,-0.0362292936460312,"Pot-97","Dry","High","Conspecific",1,"Fungi","Fungi"
"97DHC2F",-0.152623803944264,-0.0308817092060639,"Pot-97","Dry","High","Conspecific",2,"Fungi","Fungi"
"98DHC1F",-0.404620496367388,-0.030117204602199,"Pot-98","Dry","High","Conspecific",1,"Fungi","Fungi"
"98DHC2F",-0.471203646276193,-0.0638026037103416,"Pot-98","Dry","High","Conspecific",2,"Fungi","Fungi"
"9WLC1F",0.25346126776719,-0.0195792585980016,"Pot-9","Wet","Low","Conspecific",1,"Fungi","Fungi"
"9WLC2F",0.180131537173984,-0.14478655988371,"Pot-9","Wet","Low","Conspecific",2,"Fungi","Fungi"
