"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Domain","Phylum"
"de3f213528b5012f1ab578bd95bd8b33","56WHH1B",0.330335349092908,"Pot-56","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","64DLC2B",0.326857442898399,"Pot-64","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","64DLC1B",0.325909620613751,"Pot-64","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","23WLH2B",0.31985670419652,"Pot-23","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","52WHH1B",0.317982654259644,"Pot-52","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","59WHH2B",0.315455320761869,"Pot-59","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","25WLH2B",0.314865881173226,"Pot-25","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","38WHC2B",0.314403416988905,"Pot-38","Wet","High","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","58WHH1B",0.314346817675231,"Pot-58","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","53WHH2B",0.313355127739436,"Pot-53","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","25WLH2B",0.311857608423164,"Pot-25","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","22WLH2B",0.310164775036738,"Pot-22","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","1WLC1B",0.309004648488043,"Pot-1","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","60WHH2B",0.306967642106221,"Pot-60","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"fccd5b7afe391870624505cf6472e0b1","39WHC1B",0.30592357385306,"Pot-39","Wet","High","Conspecific",1,"Bacteria","Bacteria","Firmicutes"
"de3f213528b5012f1ab578bd95bd8b33","87DLH2B",0.305828984166832,"Pot-87","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","53WHH2B",0.30451628526456,"Pot-53","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","70DLC2B",0.303902365526593,"Pot-70","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"fccd5b7afe391870624505cf6472e0b1","8WLC1B",0.303371993127148,"Pot-8","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Firmicutes"
"affc2ac2edb78f316243b0e74a694d53","7WLC2B",0.300357568533969,"Pot-7","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","29WLH1B",0.299889365233024,"Pot-29","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","119DHH2B",0.298985692214684,"Pot-119","Dry","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"fccd5b7afe391870624505cf6472e0b1","35WHC1B",0.298480205528214,"Pot-35","Wet","High","Conspecific",1,"Bacteria","Bacteria","Firmicutes"
"de3f213528b5012f1ab578bd95bd8b33","70DLC1B",0.298216482164822,"Pot-70","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","66DLC2B",0.293060670166366,"Pot-66","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","61DLC1B",0.292732780062551,"Pot-61","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","34WHC1B",0.292201316401835,"Pot-34","Wet","High","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","60WHH2B",0.291676147999818,"Pot-60","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","22WLH1B",0.291043888514451,"Pot-22","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"fccd5b7afe391870624505cf6472e0b1","33WHC2B",0.289242755019049,"Pot-33","Wet","High","Conspecific",2,"Bacteria","Bacteria","Firmicutes"
"de3f213528b5012f1ab578bd95bd8b33","84DLH1B",0.288168014984259,"Pot-84","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","57WHH1B",0.287876441898274,"Pot-57","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","34WHC1B",0.28774682534406,"Pot-34","Wet","High","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","61DLC2B",0.286763611097325,"Pot-61","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","63DLC1B",0.285204702067288,"Pot-63","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","51WHH2B",0.283488663235499,"Pot-51","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","59WHH1B",0.282696897374702,"Pot-59","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","65DLC2B",0.282109922537809,"Pot-65","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","55WHH1B",0.28061189174223,"Pot-55","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","86DLH2B",0.280529232969784,"Pot-86","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","69DLC1B",0.27792141466373,"Pot-69","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
