"SampleID","Multi-trophic","Pathotroph","Saprotroph","Symbiotroph","Unassigned","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"53WHH1F",0.198958008638732,0.0355791067373202,0.413813064968607,0.00721378634724139,0.3444360333081,"Pot-53","Wet","High","Heterospecific",1,"Fungi"
"53WHH2F",0.0771984206059264,0.00402228864533747,0.574412339938743,0.00110705192073508,0.343259898889258,"Pot-53","Wet","High","Heterospecific",2,"Fungi"
"54WHH1F",0.107288043250492,0.00846569716273417,0.292024642722434,0.00414902979757764,0.588072587066762,"Pot-54","Wet","High","Heterospecific",1,"Fungi"
"54WHH2F",0.323569239541016,0.00121160287933861,0.0294348228921673,0.230988525408025,0.414795809279453,"Pot-54","Wet","High","Heterospecific",2,"Fungi"
"55WHH1F",0.12010989010989,0.00428571428571429,0.374615384615385,0.0130769230769231,0.487912087912088,"Pot-55","Wet","High","Heterospecific",1,"Fungi"
"55WHH2F",0.222802533614846,0,0.587398599844427,0.00688965440604512,0.182909212134682,"Pot-55","Wet","High","Heterospecific",2,"Fungi"
"56WHH1F",0.266912257200268,0.00971198928332217,0.189216342933691,0,0.534159410582719,"Pot-56","Wet","High","Heterospecific",1,"Fungi"
"56WHH2F",0.0283446712018141,0.0109599395313681,0.688775510204082,0.000566893424036281,0.2713529856387,"Pot-56","Wet","High","Heterospecific",2,"Fungi"
"57WHH1F",0.220099392600773,0.0326891220320265,0.226173384870237,0.00695748205411375,0.514080618442849,"Pot-57","Wet","High","Heterospecific",1,"Fungi"
"57WHH2F",0.424325717230716,0.0030922521903453,0.234323999312833,0.00790242226421577,0.33035560900189,"Pot-57","Wet","High","Heterospecific",2,"Fungi"
"58WHH1F",0.185220200110297,0.0344284251162058,0.311037579768376,0.0356889624202316,0.433624832584889,"Pot-58","Wet","High","Heterospecific",1,"Fungi"
"58WHH2F",0.0273356821771352,0.000911189405904507,0.614870611104362,0.280221115295833,0.0766614020167659,"Pot-58","Wet","High","Heterospecific",2,"Fungi"
"59WHH1F",0.132374100719424,0.145179856115108,0.152230215827338,0.00100719424460432,0.569208633093525,"Pot-59","Wet","High","Heterospecific",1,"Fungi"
"59WHH2F",0.0216939764597277,0.000692360950842372,0.817562889453035,0.00519270713131779,0.154858066005077,"Pot-59","Wet","High","Heterospecific",2,"Fungi"
"5WLC1F",0.432989955557839,0.0218357438281912,0.22364939502145,0.000719295090811005,0.320805610501708,"Pot-5","Wet","Low","Conspecific",1,"Fungi"
"5WLC2F",0.1098758984307,0,0.0810266358277997,0.368897510507598,0.440199955233903,"Pot-5","Wet","Low","Conspecific",2,"Fungi"
"60WHH1F",0.117890705028281,0.0040974480024941,0.0687213289983521,0.00218233643611099,0.807108181534761,"Pot-60","Wet","High","Heterospecific",1,"Fungi"
"60WHH2F",0.0740899128668413,0.00138985406532314,0.11215053188646,0.0292403912973753,0.783129309884001,"Pot-60","Wet","High","Heterospecific",2,"Fungi"
"61DLC1F",0.268198696840188,0.00105093533244588,0.32796188607861,0.13630631261823,0.266482169130526,"Pot-61","Dry","Low","Conspecific",1,"Fungi"
