"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Kingdom","Phylum"
"e3ac9f3a8e9420c5646705867fdd9409","89DLH1F",0.97906909137892,"Pot-89","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","51WHH2F",0.97861200846608,"Pot-51","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","114DHH2F",0.978036785016506,"Pot-114","Dry","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","86DLH1F",0.97795458312614,"Pot-86","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","85DLH1F",0.977895148669797,"Pot-85","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","96DHC2F",0.977673935617861,"Pot-96","Dry","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","98DHC2F",0.977665135434817,"Pot-98","Dry","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","65DLC1F",0.976981122487868,"Pot-65","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","56WHH2F",0.976001511715797,"Pot-56","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","97DHC2F",0.973982546284969,"Pot-97","Dry","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","51WHH1F",0.973778696550974,"Pot-51","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","7WLC2F",0.971912046829652,"Pot-7","Wet","Low","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","55WHH1F",0.970659340659341,"Pot-55","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","69DLC1F",0.970422132465954,"Pot-69","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","97DHC1F",0.96530633765686,"Pot-97","Dry","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","28WLH2F",0.965194521296581,"Pot-28","Wet","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","90DLH1F",0.964681208053691,"Pot-90","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","69DLC2F",0.964573341779025,"Pot-69","Dry","Low","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","22WLH2F",0.96108235423,"Pot-22","Wet","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
