Pot,Intensity,Frequency,Composition,SPs,RPs,TBs,Bac_Richness,Bac_Shannon,Bac_Simpson,Fun_Richness,Fun_Shannon,Fun_Simpson,Bac_PCoA1,Bac_PCoA2,Fun_PCoA1,Fun_PCoA2,RB,TB,TB_pot,R_S,RD,RDMC,SRL,SRA,RTD,RCC,RNC,Root_CN
Pot-1,Wet,Low,Conspecific,0,0.7,0.24346,514.5,5.360910731,0.9877198,34,1.876267698,0.668099444,0.05448944,-0.155972223,0.083860278,-0.139309336,0.161857143,0.3478,12.173,1.073,0.2564,153.944,101.58,818.24,0.191,37.58947754,0.914867342,41.08735312
Pot-10,Wet,Low,Conspecific,0,1.04,0.33864,461,4.959678374,0.97705336,55.5,2.490779548,0.806304889,0.12741299,-0.116889632,0.26388001,-0.327580977,0.218076923,0.325615385,16.932,2.028,0.2983,210.745,58.626,549.438,0.244,39.68869019,0.70879221,55.99481714
Pot-2,Wet,Low,Conspecific,0,1.08,0.31364,565.5,5.303213839,0.98330344,24.5,2.118040978,0.808918222,0.128536707,0.01040071,-0.057148673,-0.179873647,0.166962963,0.290407407,15.682,1.353,0.2757,178.364,66.703,577.733,0.251,33.0800705,0.623927534,53.01909068
Pot-21,Wet,Low,Heterospecific,0,1.2,0.50708,396.5,4.861571612,0.975139,46.5,2.339441297,0.833711333,0.15721462,-0.152845347,0.234709776,0.144978075,0.2579,0.422566667,12.677,1.566,0.2994,197.858,63.104,593.613,0.225,35.45269775,0.711470127,49.83019863
Pot-22,Wet,Low,Heterospecific,0,1.6,0.43688,694.5,5.616543297,0.99034296,59,2.423942043,0.821827333,0.144786985,-0.128577825,0.281655795,0.15104612,0.125775,0.27305,10.922,1.018,0.2867,195.143,60.792,547.519,0.255,39.19329453,0.673615992,58.18343833
Pot-23,Wet,Low,Heterospecific,0,0.8,0.2552,547.5,5.596868532,0.99241208,56,2.295208149,0.794440889,0.073014165,-0.20503876,0.196481716,-0.335267533,0.22485,0.319,6.38,2.389,0.2678,215.988,69.922,588.203,0.255,37.11694717,0.627325177,59.16699749
Pot-24,Wet,Low,Heterospecific,0,1.52,0.41076,878.5,6.058264779,0.9942396,46.5,1.848255372,0.724051444,0.145452787,-0.208682064,0.383639297,-0.165929874,0.160394737,0.270236842,10.269,1.67,0.2987,237.243,60.368,566.446,0.237,39.04174805,0.643160105,60.70300031
Pot-25,Wet,Low,Heterospecific,0,1.16,0.39956,777.5,5.790126112,0.99132828,53.5,2.037305625,0.78594,0.117426007,-0.174350823,0.392396192,-0.011175933,0.192344828,0.344448276,9.989,1.608,0.2585,208.32,68.058,552.658,0.279,38.79816055,0.6671139,58.15822538
Pot-26,Wet,Low,Heterospecific,0,1.32,0.3282,699.5,5.744978251,0.99283308,52,1.902152661,0.744590778,0.066778408,-0.169291068,0.371281725,-0.199206507,0.169060606,0.248636364,8.205,2.125,0.2641,211.777,73.586,610.467,0.248,39.30247116,0.633548081,62.03549871
Pot-27,Wet,Low,Heterospecific,0,1.76,0.37164,708,5.66370978,0.99207408,66,3.043480809,0.903089333,0.14675772,-0.038073877,0.210015265,0.222027893,0.106454545,0.211159091,9.291,1.09,0.2322,210.532,101.517,740.54,0.233,40.3843956,0.705664873,57.22885912
Pot-28,Wet,Low,Heterospecific,0,2,0.51848,396.5,4.76727133,0.97032772,44,1.850045714,0.681609778,0.139283091,-0.13097758,0.139762104,-0.044577375,0.15852,0.25924,12.962,1.574,0.2666,198.681,77.66,650.398,0.23,39.90130997,0.6838274,58.34997248
Pot-29,Wet,Low,Heterospecific,0,0.8,0.30484,632,5.701681223,0.99225424,39,2.639146954,0.872139889,0.161393094,-0.084106517,0.139294019,0.067644292,0.259,0.38105,7.621,2.489,0.2714,217.367,65.893,561.914,0.262,40.2370224,0.7101897,56.65672482
Pot-3,Wet,Low,Conspecific,0,1.04,0.30972,591.5,5.40564171,0.9880022,19.5,1.70956644,0.763530556,0.096076693,-0.209700204,0.193808949,0.066837643,0.185519231,0.297807692,15.486,1.652,0.2746,185.585,73.722,636.013,0.229,41.63574219,0.738831341,56.35351383
Pot-30,Wet,Low,Heterospecific,0,1.64,0.54304,597,5.618797769,0.99278632,51.5,1.928442647,0.707426556,0.149908975,-0.133574582,0.363084099,0.183392566,0.248394737,0.357263158,13.576,2.281,0.256,210.842,84.032,675.837,0.231,39.94724655,0.694844365,57.49092684
Pot-31,Wet,High,Conspecific,0,1.22,0.30586,613.5,5.560688174,0.9896386,80,2.987682224,0.909044,0.185786652,-0.175103658,0.220169072,-0.097312855,0.177311475,0.250704918,15.293,2.416,0.2622,194.279,81.132,668.188,0.228,41.56945801,0.754991293,55.05951975
Pot-32,Wet,High,Conspecific,0.08,0.82,0.39206,576.5,5.099518515,0.98189156,46.5,1.878627956,0.697629667,0.326059553,0.305788294,0.350479334,0.218529662,0.35902439,0.478121951,19.603,3.015,0.2329,177.811,98.495,720.704,0.239,41.46772003,0.843970358,49.13409534
Pot-33,Wet,High,Conspecific,0,0.76,0.28634,367,4.099778966,0.9486282,58.5,2.676055261,0.870291111,0.345555005,0.43227428,0.169999326,0.059593655,0.270657895,0.376763158,14.317,2.55,0.2647,191.37,82.013,682,0.222,40.88571167,0.84595108,48.33105913
Pot-34,Wet,High,Conspecific,0,0.76,0.28656,683.5,5.491712148,0.98866728,31.5,1.817753742,0.751452444,0.116638849,-0.020143783,0.255057528,0.228209325,0.233710526,0.377052632,14.328,1.631,0.2886,188.363,59.725,541.464,0.256,38.4900322,0.730780065,52.66978951
Pot-35,Wet,High,Conspecific,0,1.14,0.3886,513,4.642195715,0.96430912,43.5,2.231812158,0.822893111,0.363916464,0.37904349,-0.18823597,0.149649135,0.245684211,0.340877193,19.43,2.581,0.2176,186.699,114.9,785.582,0.234,41.24598694,0.80268681,51.38490682
Pot-36,Wet,High,Conspecific,0,0.98,0.29342,584,5.295752277,0.9822994,54,2.360616181,0.808759667,0.284352064,0.124800638,0.21160359,0.258802973,0.220163265,0.299408163,14.671,2.778,0.3073,202.818,50.793,490.384,0.265,38.47290802,0.692827344,55.53029677
Pot-37,Wet,High,Conspecific,0,0.88,0.26798,632,5.386443303,0.98690452,62.5,2.242729393,0.818526222,0.332001399,0.177541219,0.408208185,0.067081503,0.144181818,0.304522727,13.399,0.974,0.2462,184.804,96.632,747.486,0.217,38.17964935,0.738517106,51.69771836
Pot-38,Wet,High,Conspecific,0,0.78,0.20026,838.5,5.837783615,0.99199808,27.5,1.906488235,0.787558222,0.289628366,0.026297666,0.235461791,-0.167528982,0.167025641,0.25674359,10.013,1.862,0.258,191.627,79.858,647.161,0.239,40.3776741,0.822363675,49.09953507
Pot-39,Wet,High,Conspecific,0,0.94,0.33378,558.5,4.724939877,0.96806244,65,2.429011926,0.786520556,0.362203279,0.379980215,0.003769436,0.189874344,0.232680851,0.355085106,16.689,1.901,0.2558,194.812,85.227,684.799,0.229,41.22764969,0.795198977,51.84570263
Pot-4,Wet,Low,Conspecific,0,1.14,0.3541,753,5.831170074,0.99230536,25,1.896711623,0.746468111,0.118058275,-0.23061543,-0.045600344,-0.492464519,0.195017544,0.310614035,17.705,1.687,0.3093,219.482,58.157,565.14,0.229,37.5162468,0.731621385,51.2782261
Pot-40,Wet,High,Conspecific,0,0.88,0.25658,556,5.30351277,0.98570448,70.5,2.200144902,0.741605111,0.342123121,0.177930809,0.262767089,-0.30532991,0.189977273,0.291568182,12.829,1.87,0.2769,177.228,79.042,687.513,0.21,39.75532913,0.682735562,58.22946883
Pot-5,Wet,Low,Conspecific,0,1.02,0.3227,412,5.505823497,0.99281232,20.5,1.742415414,0.750560889,0.083018858,-0.207473882,-0.027306651,-0.413209758,0.197529412,0.316372549,16.135,1.662,0.28,194.634,74.946,659.152,0.217,38.74071884,0.801194072,48.35372626
Pot-51,Wet,High,Heterospecific,0,1.68,0.31796,356.5,5.001260164,0.98249628,60,2.672670605,0.872362889,0.267129685,0.112084965,0.29910488,-0.079711977,0.120547619,0.189261905,7.949,1.755,0.2581,207.306,92.06,746.503,0.207,38.84738922,0.686475694,56.58960624
Pot-52,Wet,High,Heterospecific,0.2,1.12,0.31492,654.5,5.138418906,0.97268116,52,2.537370757,0.868283778,0.255009594,-0.059243304,0.338678023,0.096892125,0.152892857,0.281178571,7.873,1.192,0.2502,191.906,94.172,740.342,0.216,37.7386322,0.710273027,53.13257123
Pot-53,Wet,High,Heterospecific,0,1.64,0.46124,576.5,5.332947048,0.985258,67.5,2.664883119,0.874285222,0.191457743,-0.087397194,0.263436189,0.147087074,0.193780488,0.281243902,11.531,2.215,0.2734,204.045,74.141,636.72,0.229,39.57725143,0.738846004,53.5663064
Pot-54,Wet,High,Heterospecific,0,1.56,0.41488,478,5.261547342,0.9867476,66,2.984356709,0.908931111,0.225418546,0.089569404,0.183086281,-0.075450968,0.181897436,0.265948718,10.372,2.165,0.2435,184.521,99.705,762.859,0.215,38.09766388,0.709248543,53.71553351
Pot-55,Wet,High,Heterospecific,0.36,1.88,0.43644,446.5,5.389448246,0.99011688,37.5,2.107069193,0.797669444,0.23152353,0.015934455,0.320265787,0.077945009,0.138531915,0.232148936,10.911,1.48,0.256,210.445,77.474,623.196,0.25,36.71301651,0.686025918,53.51549489
Pot-56,Wet,High,Heterospecific,0,0.56,0.14412,815,5.883534175,0.99295716,21,1.749949789,0.707071111,0.167513473,-0.189224814,0.114502864,-0.244508866,0.1315,0.257357143,3.603,1.045,0.2885,188.873,67.703,613.573,0.226,38.3797226,0.735099733,52.21022519
Pot-57,Wet,High,Heterospecific,0,1.56,0.56236,571,4.963988819,0.96359104,38.5,2.307242771,0.845586222,0.341977983,0.133966452,0.231699399,-0.083731204,0.260923077,0.360487179,14.059,2.621,0.2417,162.706,106.798,810.859,0.204,41.18818665,0.766082227,53.76470723
Pot-58,Wet,High,Heterospecific,1.04,1.64,0.37584,613.5,5.004485229,0.974336,30.5,1.762408576,0.699078778,0.324841684,0.191047438,0.26106379,0.154670667,0.140512195,0.229170732,9.396,1.585,0.2664,183.111,89.571,749.519,0.2,47.0290451,0.949281573,49.54172338
Pot-59,Wet,High,Heterospecific,0.36,1.76,0.49872,663.5,5.539449547,0.99052496,30.5,2.110434954,0.793290333,0.197275624,-0.113609291,0.016617405,0.236800237,0.164227273,0.283363636,12.468,1.378,0.2759,197.71,74.139,642.522,0.226,39.22622299,0.644767582,60.83777176
Pot-6,Wet,Low,Conspecific,0.4,1.38,0.34646,496,5.296826584,0.98666484,22,1.579508747,0.656236,0.152291323,-0.112284804,0.210041561,0.034193634,0.139985507,0.251057971,17.323,1.26,0.2612,200.286,80.21,658.307,0.232,40.16585922,0.674463034,59.55235083
Pot-60,Wet,High,Heterospecific,0,1.8,0.4414,732,5.793053337,0.99196488,55.5,1.729947276,0.625940111,0.124246269,-0.191126298,0.259985562,0.229244366,0.1558,0.245222222,11.035,1.742,0.3082,216.229,59.096,572.276,0.227,40.70537567,0.627004385,64.92040031
Pot-7,Wet,Low,Conspecific,0,1.14,0.40646,647.5,5.313405558,0.981028,81,3.00356169,0.921529778,0.108266534,-0.186836221,0.015591013,0.041334179,0.241631579,0.35654386,20.323,2.103,0.3141,204.3,53.126,524.217,0.243,39.83016968,0.695486486,57.26950916
Pot-8,Wet,Low,Conspecific,0,0.92,0.34698,324,4.739206118,0.97755284,36,1.803902094,0.684889333,0.146345418,-0.084241444,0.257187641,-0.044024019,0.251195652,0.377152174,17.349,1.995,0.2793,227.71,67.427,591.574,0.242,42.41184616,0.776705146,54.60482189
Pot-9,Wet,Low,Conspecific,0,1.1,0.36928,416.5,4.632981832,0.93871776,54.5,2.880881254,0.910055667,0.086853809,-0.166970282,0.247629117,-0.083873232,0.240472727,0.335709091,18.464,2.525,0.2737,190.099,73.176,629.136,0.232,40.20697403,0.710637808,56.57871503
