ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
7d727a428792fb6a09e8f220cbaca0aa,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Testudinaceae,Testudinaceae_gen_Incertae_sedis,Testudinaceae_sp
84f6998f9b93aef37ee9f2ca8995f0cd,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_lapis
34752cd6e43ebc50e7dcf3a6ee83722e,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_plurivora
9a13cde63c6bf8c523f4f6898b7ce61b,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_heimaeyensis
b2a05089fbfba1cd8284d72886e80ce3,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp
919c4c9bffb11939b73c5738951d4428,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
3494bf92fca823401051bcff92fd1bed,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Dissoconiaceae,Dissoconium,
420f4b9d5d4c17478df07d728e3e9188,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Hemimycena,Hemimycena_subimmaculata
177eb91c8a0b93f4ccb1cf1b60c75c71,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,
2a6b98415a5e77c9d0ec58b723c69843,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp
694afa72da35208b93d6307d0afcc1d8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Testudinaceae,Testudinaceae_gen_Incertae_sedis,Testudinaceae_sp
22fa5b7d50ebda43e46f0dd9ac56e656,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiaceae_gen_Incertae_sedis,Sporormiaceae_sp
4fdabc2187e40177e9d481e58e6f8e65,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_roseopurpureum
94f2cd3c6f34e577e081654cee2f2c96,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,,
3ba4a04814377facbfa819d2e5175463,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
dfb6d38195f44945c16106c58268d49d,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_radicina
41f99f95cd2352dcba43e38f3681cc47,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,Leohumicola_sp
a9dbbcc83ad2537b4872125055400f7d,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,
ef0ec794d389586326dd3f1da875035f,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
f3f2771cd358d2e061667c8b206c444b,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotryaceae_gen_Incertae_sedis,Stachybotryaceae_sp
363897ce7311b1ec4d318aa94bd02293,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola
fdb0d4aa1d2c914f92d1d933d0d07664,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apiosordaria,Apiosordaria_sp
42551b4639aff66a99540d847c077369,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,
8efd5c16c20117e065b270a2c671b98f,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Tetracladium,Tetracladium_sp
6a68c24698211d69cd420e0aa0c773c7,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_floriforme
80ae0d452c3649b08e308c50d2981319,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_psychrotolerans
0e0371d2cdeb6bd83ef2e4ab0e7d59c3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Tetrapyrgos,Tetrapyrgos_atrocyanea
4082ec400fad6283685b299998e9d1d2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_andiyazi
2c22b6e8097a4ba8b7bb5a3689479cad,Fungi,Ascomycota,Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera,Minutisphaera_sp
04762bb6f9639b431bd6bfbe4bf58fd9,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Striaticonidium,Striaticonidium_brachysporum
a3b0c8c314608689716b58e3fb7d9e6f,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,
5dcaad4f3d7ea69acaa5440c14f251c9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pseudomassarinaceae,Pseudomassarina,Pseudomassarina_clematidis
0b55ac614e7abb5e10a30f3fa71e3861,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Mirandina,Mirandina_sp
d1af6280453d7af3784d43dde46c43ba,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium_schulzeri
d35d1562311d4cf450a642426b963521,Fungi,,,,,,
4c99c1540f81dc41325414a95354c52e,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp
7a9bae337c635dd97866b383d7dc3f7c,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Ophioceraceae,Ophioceraceae_gen_Incertae_sedis,Ophioceraceae_sp
50f1ff27bf28e7532003cb8782b7e861,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_sp
99c48194bd1d3f83a14381666fcc6a4f,Fungi,Ascomycota,Leotiomycetes,Helotiales,Calloriaceae,Calloriaceae_gen_Incertae_sedis,Calloriaceae_sp
f44c621fc913e47f97b8cd4891675cd2,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
cfcfd995dbc89e2ad840edea9d442509,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,
7eb7c65cdcaa34253131e1c6f51731b4,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp
c3de67326a457822e25335604b0b075e,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis
7e80bddac576bf30fd27a7656cbae8f6,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Cladorrhinum,
a860ecea51ff1490fe8cf78debe72024,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp
4bc96df48218aebc48495f59a04dcacf,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Nectriella,Nectriella_adonidis
ab0b0303e96938cc94e1dc911dc65716,Fungi,,,,,,
7495fc5a3169530c804978de5872659c,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis_mosseae
51775ae3f7b8c6ea66bc3d0ff50a4f1f,Fungi,Ascomycota,,,,,
5f5ef71f101f26c10d983dc64d0853ec,Fungi,,,,,,
b2dac3812ae2705b153196c4edbcdb32,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora_sp
8ca021d1c882001daf600535628b87b2,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Paraphaeosphaeria_michotii
e8ac4868e541e58427971b675398cf9b,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_repens
0d7737e2f216713fd84751b3b0001959,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_merkxianum
4541010e26b024df3baa0706f3960fca,Fungi,Ascomycota,,,,,
27168fab1401bc08f00687edc97af6f6,Fungi,Ascomycota,Sordariomycetes,Branch06,Branch06_fam_Incertae_sedis,Branch06_gen_Incertae_sedis,Branch06_sp
efd5f02b7b192652a165ba3bc9add897,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Rhinocladiella_sp
1429334b3b776c0c366ccbad5493cb22,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,
e7e684bab7ca885aa148684435e45adc,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces_rosae
9a6ce9d42b5a84b6f8f74c135756d904,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotryaceae_gen_Incertae_sedis,Stachybotryaceae_sp
6cd8cf96fe0efab6f4e3a808ff686f84,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,Microdominikia_sp
8f049a222de79fe454fe6bbcded3ad0c,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Smardaea,Smardaea_planchonis
1fcfd25c0a7b43caad71cf843fe4b99c,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,Cephalotrichum_telluricum
1e54178dadb23ac69e4195e4f8f58cda,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium_schulzeri
475c34239eb859e06537ad825a3ce602,Fungi,Ascomycota,,,,,
358b61b74b6df35f7fc13cd617d3fc86,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_tephrensis
23a750d3653ac80aa9d79861543c296b,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,
fad7d241c19f462782ecf1328c0fbae1,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
97c2f73cc5fe7cb679b43cffb2643d6e,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotryaceae_gen_Incertae_sedis,Stachybotryaceae_sp
f48bbb0069d04b7b3124114d060b3a43,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Hemimycena,Hemimycena_subimmaculata
f2a3cda61613aa4fcbfeb7c1d10d1381,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp
e3ed015d0685f45464ef9adabd7f0ef0,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Oncopodiella,Oncopodiella_sp
