ASV_ID,10WLC1F,10WLC2F,114DHH1F,114DHH2F,117DHH1F,117DHH2F,119DHH1F,119DHH2F,1WLC1F,1WLC2F,21WLH1F,21WLH2F,22WLH1F,22WLH2F,23WLH1F,23WLH2F,24WLH1F,24WLH2F,25WLH1F,25WLH2F,26WLH1F,26WLH2F,27WLH1F,28WLH1F,28WLH2F,29WLH1F,29WLH2F,2WLC1F,2WLC2F,30WLH1F,30WLH2F,31WHC1F,31WHC2F,32WHC1F,32WHC2F,33WHC1F,33WHC2F,34WHC1F,34WHC2F,35WHC1F,35WHC2F,36WHC1F,36WHC2F,37WHC1F,37WHC2F,38WHC1F,38WHC2F,39WHC1F,39WHC2F,3WLC1F,3WLC2F,40WHC1F,40WHC2F,4WLC1F,4WLC2F,51WHH1F,51WHH2F,52WHH1F,52WHH2F,53WHH1F,53WHH2F,54WHH1F,54WHH2F,55WHH1F,55WHH2F,56WHH1F,56WHH2F,57WHH1F,57WHH2F,58WHH1F,58WHH2F,59WHH1F,59WHH2F,5WLC1F,5WLC2F,60WHH1F,60WHH2F,61DLC1F,61DLC2F,62DLC1F,62DLC2F,63DLC1F,63DLC2F,64DLC1F,64DLC2F,65DLC1F,65DLC2F,66DLC1F,66DLC2F,67DLC1F,67DLC2F,68DLC1F,68DLC2F,69DLC1F,69DLC2F,6WLC1F,6WLC2F,70DLC1F,70DLC2F,7WLC1F,7WLC2F,81DLH1F,81DLH2F,82DLH1F,82DLH2F,83DLH1F,83DLH2F,84DLH1F,84DLH2F,85DLH1F,85DLH2F,86DLH1F,86DLH2F,87DLH1F,87DLH2F,88DLH1F,88DLH2F,89DLH1F,89DLH2F,8WLC1F,8WLC2F,90DLH1F,90DLH2F,96DHC1F,96DHC2F,97DHC1F,97DHC2F,98DHC1F,98DHC2F,9WLC1F,9WLC2F
7e4287a0160cbd7b5d96e4dea4218f42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3260d403a8bb679cfc70d54f7edf72a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53f059ab8f933ba29fdba510913c2cef,0,0,0,0,0,0,0,0,128,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7bb0e1c41917f68850a170add9afc6f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,113,75,0,0,0,0,0,0,34,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfe5d58a6d45f4b2cddd8efafa97b164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09696193536e6ed5010bee5e95cb317f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
d179c3fe82d889192d7cf7c3f334a3e1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
0107acbdf7a43c67ff5a135dfee12c1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bc38a7aa150a2b1d51ace6bcf389985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0
82dfb7e43dc038ea4d1943a457f316f4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
