SampleID,Pot,Intensity,Frequency,Composition,Replicate,Microbes
70DLC2F,Pot-70,Dry,Low,Conspecific,2,Fungi
81DLH2F,Pot-81,Dry,Low,Heterospecific,2,Fungi
82DLH2F,Pot-82,Dry,Low,Heterospecific,2,Fungi
83DLH2F,Pot-83,Dry,Low,Heterospecific,2,Fungi
84DLH2F,Pot-84,Dry,Low,Heterospecific,2,Fungi
85DLH2F,Pot-85,Dry,Low,Heterospecific,2,Fungi
86DLH2F,Pot-86,Dry,Low,Heterospecific,2,Fungi
87DLH2F,Pot-87,Dry,Low,Heterospecific,2,Fungi
88DLH2F,Pot-88,Dry,Low,Heterospecific,2,Fungi
89DLH2F,Pot-89,Dry,Low,Heterospecific,2,Fungi
90DLH2F,Pot-90,Dry,Low,Heterospecific,2,Fungi
96DHC2F,Pot-96,Dry,High,Conspecific,2,Fungi
97DHC2F,Pot-97,Dry,High,Conspecific,2,Fungi
98DHC2F,Pot-98,Dry,High,Conspecific,2,Fungi
114DHH2F,Pot-114,Dry,High,Heterospecific,2,Fungi
117DHH2F,Pot-117,Dry,High,Heterospecific,2,Fungi
119DHH2F,Pot-119,Dry,High,Heterospecific,2,Fungi
70DLC1F,Pot-70,Dry,Low,Conspecific,1,Fungi
